Français	Soninké	Prononciation
nom individuel	tóxò	
nom de famille	jànmû	
femme	yàxàrê	
homme (vir)	yúgò	
homme (homo)	sèrê	
enfant	lémínè	
épouse	yàqqê	
mari	kìinê	
mère	sàaxê	
père	hàabê	
animal	dáabà	
animal sauvage	gùndùhô	
poisson	ñéxè	
oiseau	yèlínŋè	
chien	wùllê	
pou	dúuñè	
serpent	sámáqqè	
ver	qúudò	
arbre	yíttè	
forêt	dígà	
brousse	gùnnê	
bâton	gùmâ	
fruit	yíttírénmè	
graine	húncè	
feuille	dárè	
racine	ñìimê	
écorce	kórómè	
fleur	hùugê	
herbe	sókkè	
corde	káccè	
peau	hàtê	
viande	tíyè	
sang	hòrê	
os	qóttè	
graisse	kátóyè	
œuf	yèllê	
corne	bénnè	
queue	qóqqè	
plume	yìntê	
cheveu, poil	yìntê	
tête	yínmè	
oreille	tárò	
œil	yáaxè	
nez	núxúnnè	
bouche	láqqè	
dent	kànbê	
langue (organe)	néenè	
ongle	ségéñè	
pied	tâ	
jambe	tâ	
genou	qúrúngò	
main	kíttè	
aile	kánpè	
ventre	nòxô	
intestins	nùxùllénmè	
cou	qánnè	
dos	qóodò	
poitrine	gíjínmè	
cœur	sòndònmê	
foie	búttè	
soleil	kìyê	
lune	qásò	
étoile	sàanê	
eau	jî	
pluie	kànmê	
rivière	lànbê	
fleuve	hànŋê	
lac	dálà	
mer	gèejî	
pierre	gídè	
sel	sáppè	
sable	sèyénŋè	
poussière	qòbê	
terre (sol)	ŋùñê	
nuage	qàbâ, tábúllè	
brouillard	mínáaxè	
ciel	kànmê	
vent	hànkê	
neige	—	
glace	—	
fumée	tìidê	
feu	yìnbê	
cendre	qàmê	
route	kìllê	
montagne	gídè	
